Place,Frequency
Alpweg,1
Monte Rosa-Gruppe,1
Gran Paradiso,1
Hütten-Pause,1
Piz Morteratsch-Tour,1
Moränengeröll,1
3.Staccato dal,1
Valmalenco,1
fino alRifugio,1
21:45. Un'ascesa,1
discesa ed infine,1
risalita,1
Procediamo sul ghiacciaioancora,1
Schildern,1
discesa da solo,1
Arrivati alRifugio Marco e Rosafacciamo,1
la domanda se proseguire o tornare,1
vista l'ora,1
la cima,1
Ogni,1
ferro,1
lenti,1
conserva ci,1
programma,1
La cresta è di ottima roccia,1
la seconda,1
lunga,1
Lunghissima,1
compagnia di 3,1
Noi riprendiamo la discesa,1
nebbia,1
e una terza calata,1
la traccia dell'andata,1
la cena,1
suggeriscono di fermarci,1
la notte al rifugio e,1
laDiga di Campo Moro,1
Mi,1
la sera,1
Verona,1
recupero dei nipoti,1
per loro,1
Il riassunto della mia vita,1
così,1
compagnia di altri malenchi,1
Wallis,1
Tourenportal,1
Grundwissen,1
Wetterprognosen,1
Stilles,1
Steinmänndli,1
Prievlusazogen,1
Felsrand,1
Rundumblick,1
Weite,1
Gipfeleisfeld,1
unteren Teil,1
Weiss,1
Heckscheiben,1
Deutschland,1
Norwand,1
Tschierva-Gletschers,1
Abendsonne,1
S-charl,1
Biancograt-Aspiranten,1
Bezüglich Piz Morteratsch,1
Kante,1
Piz Palügeplant,1
Piz Bernina Westwand,1
Dal parcheggio di Morteratsch prendo il sentiero,1
direzione di,1
Continuo a seguire la traccia ben,1
Piz Misaun e il Piz Mandra,1
Leuten,1
saliamo,1
una mattinata,1
la scalata subito si appresta molto,1
Est,1
scalata fino alla,1
dopo il primo punto ostico,1
Ecrins,1
stremata,1
doppia di,1
la ragazza,1
doppia,1
la prima,1
poi faremo un'altra calata di 25,1
Giunti alla,1
viti,1
cordini,1
Esssaal,1
Furcla da Boval,1
Furcla,1
Gehgelände,1
Angenehmer,1
Bächlein,1
dieTerrassa,1
Gratkante,1
Wahnsinns-Aussicht,1
Touren,1
Bergsteigen,1
Pfeilers,1
Pièce de Résistance,1
weiterzuklettern,1
Rega,1
Gipfelplateau,1
Aufbruch,1
Gratturmes,1
Mehrtagegepäck,1
lebendiger,1
Piz Boval OstgratT5,1
Boval Ostgrat hinab,1
Begehungsspurenund,1
Stöcke,1
Redundanz,1
II-III,1
Fallinie,1
Sicherlich,1
Bergwiesel,1
Dummerweiseenden,1
Tschierva-Ostgratwählen,1
Bovalscharte.16:20,1
Darunterrutschen,1
Anseilplatz,1
Greifen,1
Piz Palüwar,1
Piz Morteratsch zur Chamanna da Tschierva,1
Corn,1
Moränenrücken,1
zumFuorcla da Boval,1
Frontzacken der Steigeisen,1
Piz Berninaüber,1
Höhenlinie,1
Aufstiegsweges,1
Aussichtsgipfel,1
Steinmannliweg,1
Puoz Ot,1
Bernina-Massif,1
3:30h,1
Blockfelder,1
Sella-Gletscher,1
Fuorcla da la Sella,1
Bivacco Parravicini,1
IV. Grad,1
Wanderstiefel,1
Gletscherrand,1
Gletscherkante,1
Abgrund,1
3347m.ü,1
Tschervahütte,1
la Valtellina,1
Tresero e San Matteo,1
cinque,1
le 13,1
Wanderstöcke,1
Val Malenco,1
la prendiamo comoda,1
Pizzo Tresero,1
Decidiamo,1
poi cerchiamo,1
Santa donna!!!!!Fuori dai casini,1
mezzo ai crepacci e per finire,1
Ci prendiamo,1
la febbre ma,1
presso un crepaccio da saltare,1
questi,1
Arriviamo al rifugio,1
Partiamo,1
le solette,1
gomma,1
le usavamo,1
più senza,1
assetto,1
Secondo Lella si sono,1
rifugio cena da,1
si e digerisco tutto,1
la visibilità è zero,1
salta,1
programma di,1
Veloci,1
Noi decidiamo di,1
"LinoMa dove osano le Aquile?""Le Aquile osano sulla",1
WS Gelände,1
IV. Grat,1
Gratrückens,1
Süd-Ost Grates,1
Piz Scersen,1
macchina,1
direzione della valmalenco,1
branda,1
La sveglia,1
direzione,1
fino all'ingresso del canale di Crest'Aguzza,1
crestina,1
fino alla vetta,1
Si potrebbe stare sulla cima ore a contemplare,1
fretta,1
basso,1
più,1
Tja,1
Fourcla,1
Tschechen,1
Haustür,1
Piz Albris,1
Bredouille,1
RichtungBoval Hütte,1
Trailrunning Schuhe,1
Lederbüchlein,1
Barnie,1
Surf-Vergnügen,1
Wildspuren,1
Anreisetag,1
Piz BerninaDerPiz,1
Seilschaften,1
Wetterlage,1
unterschätz,1
Orientierungsvermögen,1
Kletterei am Eselsgrat,1
Ehrgeiz,1
Lagerzimmer,1
einfacher,1
Bellavistagipfel,1
II.,1
III. Schwierigkeitsgrad,1
Piz Buin,1
Bernina-Hospiz,1
Diavolezza-Talstation,1
klarzukommen!1.,1
derOstalpenund,1
Lech am Arlberg,1
Fortezza-Grat,1
Pferd vompontresinerBahnhof,1
Arvenwälder,1
Rosegerreichten,1
Trockenen an der Tasse,1
Kaffees,1
Zuversicht,1
Tschiervahütte - Fuorcla Prievlusa,1
Kübeln,1
Socken,1
KEIN,1
Unterfangens,1
dernach,1
Herzschlages,1
Couloir,1
Palü[23.07.2017,1
Spaltenzonen,1
II. Schwierigkeitsgrad,1
Diavolzza,1
weich,1
Netto-Höhenunterschied,1
Carpaccio,1
Carne,1
Spiegelei,1
III. Grad,1
Abbrüchen,1
D.h,1
Blockgestein,1
Piz Cambrenas,1
Piz Palü Ostgipfel,1
Absteig,1
Bellavistaterassen,1
Bellavistagipfeln,1
